Exp_ID,Racks,NodesPerRack,ZonesPerRack,K,L,G,ChunkSize,NumStripes,C_AvgBlk_Single_GB,C_AvgBlk_Rack_GB,C_AvgBlk_Zone_GB,D_AvgBlk_Single_GB,D_AvgBlk_Rack_GB,D_AvgBlk_Zone_GB,C_Unrep_Single,C_Unrep_Rack,C_Unrep_Zone,D_Unrep_Single,D_Unrep_Rack,D_Unrep_Zone
1,50,20,10,6,2,2,1024,1,1.800000,5.400000,1.800000,3.400000,3.600000,3.400000,0,0,0,0,0,0
2,50,20,10,8,2,4,1024,1,1.428571,8.000000,1.428571,4.285714,5.142857,4.285714,0,0,0,0,0,0
3,50,20,10,9,3,2,1024,1,2.000000,7.714286,2.000000,3.714286,3.857143,3.714286,0,0,0,0,0,0
4,50,20,10,10,2,4,1024,1,2.500000,9.375000,2.500000,5.500000,6.250000,6.000000,0,0,0,0,0,0
5,50,20,10,12,2,2,1024,1,4.875000,11.250000,4.875000,6.625000,6.750000,7.250000,0,0,0,0,0,0
6,50,20,10,15,5,2,1024,1,2.181818,12.272727,2.181818,4.000000,4.090909,4.727273,0,0,0,0,0,0
7,50,20,10,16,4,3,1024,1,2.695652,13.913043,2.695652,5.304348,5.565217,6.869565,0,0,0,0,0,0
8,50,20,10,18,2,4,1024,1,6.666667,18.000000,6.666667,10.000000,10.500000,11.333333,0,0,0,0,0,0
9,50,20,10,24,3,3,1024,1,6.700000,22.400000,6.700000,9.400000,9.600000,12.200000,0,0,0,0,0,0
10,50,20,10,30,5,3,1024,1,5.368421,30.000000,5.368421,7.736842,7.894737,13.000000,0,0,0,0,0,0
11,50,20,10,36,6,2,1024,1,5.409091,31.909091,5.409091,7.318182,7.363636,10.750000,0,0,0,0,0,0
12,50,20,10,42,6,2,1024,1,6.680000,42.000000,6.680000,8.360000,8.400000,14.360000,0,0,0,0,0,0
